Cik_code,Cik_code2
293400119,293400119
293400120,293400120
293400124,293400124
293400126,293400126
293400129,293400129
300700014,300700014
301000002,301000002
301000006,301000006
301000012,301000012
301000013,301000013
301100001,301100001
301100013,301100013
301100014,301100014
301800002,301800002
301800003,301800003
301800021,301800021
301800022,301800022
301900008,301900008
302100002,302100002
302100003,302100003
302100009,302100009
302100010,302100010
302200002,302200002
302200008,302200008
302200011,302200011
302200013,302200013
302300006,302300006
303000002,303000002
303000041,303000041
303000042,303000042
303000043,303000043
303000046,303000046
303000052,303000052
303000053,303000053
303000063,303000063
303000105,303000105
303000106,303000106
310700011,310700011
312200002,312200002
312200017,312200017
312200019,312200019
312500025,312500025
312600031,312600031
312600042,312600042
312600043,312600043
312600044,312600044
312600045,312600045
312600046,312600046
312600047,312600047
312600048,312600048
312600049,312600049
312600050,312600050
312600051,312600051
312600052,312600052
312600053,312600053
312600054,312600054
312600055,312600055
312600056,312600056
312600057,312600057
312600058,312600058
